InternshipID,InternshipRole,RequiredSkills,Organization,CityLocation,Stipend,Duration,EducationRequired,MinAge,MaxAge,InternshipType,RequiredSkills_lst
1026,Data Analyst Intern,"Data Analysis, SQL",InnovateX,Hyderabad,26000 INR,6 months,B.Tech,20,27,Office-centric,"['Data Analysis', 'SQL']"
1027,ML Engineer Intern,"Python, ML",WebSolutions,Chennai,10000 INR,6 months,MCA,19,28,Office-centric,"['ML', 'Python']"
1028,Cloud Developer Intern,"Java, Cloud",SoftLab,Kolkata,20000 INR,3 months,MCA,18,28,Office-centric,"['Cloud', 'Java']"
1029,Frontend Developer Intern,"JavaScript, React",SoftLab,Kolkata,16000 INR,1 month,MCA,21,29,Office-centric,"['JavaScript', 'React']"
1030,Frontend Developer Intern,"JavaScript, React",WebSolutions,Delhi,26000 INR,5 months,M.Tech,18,26,Remote,"['JavaScript', 'React']"
1031,Cloud Developer Intern,"Java, Cloud",SoftLab,Kolkata,14000 INR,6 months,MCA,19,28,Office-centric,"['Cloud', 'Java']"
1032,Cloud Developer Intern,"Java, Cloud",NextGenTech,Delhi,24000 INR,4 months,MCA,19,24,Office-centric,"['Cloud', 'Java']"
1033,Frontend Developer Intern,"JavaScript, React",ByteWorks,Chennai,18000 INR,3 months,BCA,22,30,Remote,"['JavaScript', 'React']"
1034,Data Analyst Intern,"Data Analysis, SQL",ByteWorks,Kolkata,26000 INR,3 months,BCA,18,24,Remote,"['Data Analysis', 'SQL']"
1035,Frontend Developer Intern,"JavaScript, React",NextGenTech,Chennai,22000 INR,4 months,B.Sc,21,26,Office-centric,"['JavaScript', 'React']"
1036,Frontend Developer Intern,"JavaScript, React",InnovateX,Gurgaon,8000 INR,5 months,B.Tech,19,25,Remote,"['JavaScript', 'React']"
1037,Data Analyst Intern,"Data Analysis, SQL",TechCorp,Bangalore,12000 INR,1 month,B.Tech,20,25,Remote,"['Data Analysis', 'SQL']"
1038,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Noida,24000 INR,4 months,MCA,19,28,Remote,"['CSS', 'HTML', 'Python']"
1039,Cloud Developer Intern,"Java, Cloud",AlgoNext,Gurgaon,22000 INR,6 months,M.Tech,19,26,Remote,"['Cloud', 'Java']"
1040,ML Engineer Intern,"Python, ML",SoftLab,Bangalore,18000 INR,4 months,B.Tech,20,28,Office-centric,"['ML', 'Python']"
1041,Web Developer Intern,"Python, HTML, CSS",SoftLab,Ahmedabad,24000 INR,5 months,M.Tech,22,29,Office-centric,"['CSS', 'HTML', 'Python']"
1042,Data Analyst Intern,"Data Analysis, SQL",TechCorp,Bangalore,26000 INR,6 months,BCA,19,27,Office-centric,"['Data Analysis', 'SQL']"
1043,Web Developer Intern,"Python, HTML, CSS",NextGenTech,Chennai,8000 INR,2 months,MCA,21,25,Office-centric,"['CSS', 'HTML', 'Python']"
1044,Cloud Developer Intern,"Java, Cloud",DevHub,Mumbai,28000 INR,1 month,MCA,20,26,Office-centric,"['Cloud', 'Java']"
1045,Backend Developer Intern,"Java, Backend",TechCorp,Mumbai,18000 INR,6 months,MCA,21,29,Office-centric,"['Backend', 'Java']"
1046,Cloud Developer Intern,"Java, Cloud",SoftLab,Delhi,20000 INR,5 months,BCA,22,24,Remote,"['Cloud', 'Java']"
1047,Web Developer Intern,"Python, HTML, CSS",DataWorks,Ahmedabad,30000 INR,1 month,MCA,18,24,Office-centric,"['CSS', 'HTML', 'Python']"
1048,Backend Developer Intern,"Java, Backend",TechCorp,Bangalore,16000 INR,6 months,B.Tech,22,27,Office-centric,"['Backend', 'Java']"
1049,Cloud Developer Intern,"Java, Cloud",TechCorp,Noida,26000 INR,3 months,MCA,20,25,Remote,"['Cloud', 'Java']"
1050,Frontend Developer Intern,"JavaScript, React",NextGenTech,Bangalore,12000 INR,6 months,BCA,21,25,Office-centric,"['JavaScript', 'React']"
1051,Frontend Developer Intern,"JavaScript, React",AlgoNext,Ahmedabad,26000 INR,4 months,B.Sc,21,26,Office-centric,"['JavaScript', 'React']"
1052,Data Analyst Intern,"Data Analysis, SQL",InnovateX,Noida,12000 INR,2 months,M.Tech,20,24,Office-centric,"['Data Analysis', 'SQL']"
1053,Cloud Developer Intern,"Java, Cloud",DataWorks,Hyderabad,22000 INR,5 months,BCA,21,23,Office-centric,"['Cloud', 'Java']"
1054,Backend Developer Intern,"Java, Backend",DataWorks,Chennai,16000 INR,1 month,MCA,19,29,Office-centric,"['Backend', 'Java']"
1055,Data Analyst Intern,"Data Analysis, SQL",DevHub,Noida,18000 INR,5 months,B.Sc,20,24,Office-centric,"['Data Analysis', 'SQL']"
1056,Data Analyst Intern,"Data Analysis, SQL",WebSolutions,Delhi,8000 INR,5 months,MCA,18,26,Remote,"['Data Analysis', 'SQL']"
1057,Data Analyst Intern,"Data Analysis, SQL",InnovateX,Kolkata,26000 INR,5 months,B.Tech,21,26,Remote,"['Data Analysis', 'SQL']"
1058,Backend Developer Intern,"Java, Backend",AlgoNext,Delhi,10000 INR,2 months,M.Tech,18,23,Remote,"['Backend', 'Java']"
1059,Web Developer Intern,"Python, HTML, CSS",SoftLab,Chennai,28000 INR,6 months,BCA,20,29,Remote,"['CSS', 'HTML', 'Python']"
1060,Web Developer Intern,"Python, HTML, CSS",InnovateX,Delhi,30000 INR,2 months,BCA,20,27,Office-centric,"['CSS', 'HTML', 'Python']"
1061,Frontend Developer Intern,"JavaScript, React",CloudNet,Ahmedabad,16000 INR,6 months,M.Tech,22,28,Office-centric,"['JavaScript', 'React']"
1062,Cloud Developer Intern,"Java, Cloud",DataWorks,Chennai,8000 INR,3 months,MCA,21,30,Remote,"['Cloud', 'Java']"
1063,Backend Developer Intern,"Java, Backend",DataWorks,Chennai,8000 INR,2 months,B.Sc,18,29,Office-centric,"['Backend', 'Java']"
1064,Backend Developer Intern,"Java, Backend",NextGenTech,Pune,12000 INR,3 months,B.Sc,20,27,Office-centric,"['Backend', 'Java']"
1065,Frontend Developer Intern,"JavaScript, React",InnovateX,Hyderabad,24000 INR,2 months,B.Sc,22,30,Office-centric,"['JavaScript', 'React']"
1066,Data Analyst Intern,"Data Analysis, SQL",InnovateX,Bangalore,30000 INR,4 months,MCA,18,29,Office-centric,"['Data Analysis', 'SQL']"
1067,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Delhi,18000 INR,5 months,M.Tech,22,29,Remote,"['CSS', 'HTML', 'Python']"
1068,Backend Developer Intern,"Java, Backend",DevHub,Bangalore,26000 INR,6 months,BCA,21,29,Office-centric,"['Backend', 'Java']"
1069,Frontend Developer Intern,"JavaScript, React",ByteWorks,Ahmedabad,22000 INR,4 months,B.Tech,22,28,Remote,"['JavaScript', 'React']"
1070,Web Developer Intern,"Python, HTML, CSS",TechCorp,Mumbai,22000 INR,2 months,B.Sc,20,30,Office-centric,"['CSS', 'HTML', 'Python']"
1071,Backend Developer Intern,"Java, Backend",InnovateX,Kolkata,28000 INR,5 months,MCA,20,30,Remote,"['Backend', 'Java']"
1072,ML Engineer Intern,"Python, ML",DataWorks,Kolkata,16000 INR,1 month,B.Tech,22,30,Remote,"['ML', 'Python']"
1073,Web Developer Intern,"Python, HTML, CSS",AlgoNext,Delhi,26000 INR,3 months,B.Sc,20,29,Remote,"['CSS', 'HTML', 'Python']"
1074,ML Engineer Intern,"Python, ML",WebSolutions,Pune,10000 INR,4 months,B.Tech,22,26,Remote,"['ML', 'Python']"
1075,Cloud Developer Intern,"Java, Cloud",TechCorp,Delhi,28000 INR,3 months,MCA,20,26,Remote,"['Cloud', 'Java']"
1076,Data Analyst Intern,"Data Analysis, SQL",WebSolutions,Kolkata,18000 INR,4 months,B.Sc,19,30,Office-centric,"['Data Analysis', 'SQL']"
1077,Web Developer Intern,"Python, HTML, CSS",CloudNet,Ahmedabad,16000 INR,1 month,M.Tech,20,29,Remote,"['CSS', 'HTML', 'Python']"
1078,Frontend Developer Intern,"JavaScript, React",NextGenTech,Kolkata,16000 INR,5 months,B.Tech,22,23,Office-centric,"['JavaScript', 'React']"
1079,Data Analyst Intern,"Data Analysis, SQL",DevHub,Gurgaon,18000 INR,2 months,M.Tech,19,27,Office-centric,"['Data Analysis', 'SQL']"
1080,ML Engineer Intern,"Python, ML",AlgoNext,Bangalore,16000 INR,5 months,MCA,18,27,Office-centric,"['ML', 'Python']"
1081,Cloud Developer Intern,"Java, Cloud",CloudNet,Chennai,22000 INR,4 months,B.Sc,19,29,Remote,"['Cloud', 'Java']"
1082,Cloud Developer Intern,"Java, Cloud",SoftLab,Ahmedabad,28000 INR,6 months,M.Tech,18,29,Remote,"['Cloud', 'Java']"
1083,Backend Developer Intern,"Java, Backend",TechCorp,Kolkata,24000 INR,6 months,M.Tech,22,30,Remote,"['Backend', 'Java']"
1084,Frontend Developer Intern,"JavaScript, React",NextGenTech,Hyderabad,8000 INR,2 months,M.Tech,19,30,Remote,"['JavaScript', 'React']"
1085,Backend Developer Intern,"Java, Backend",TechCorp,Ahmedabad,10000 INR,6 months,M.Tech,18,28,Office-centric,"['Backend', 'Java']"
1086,Frontend Developer Intern,"JavaScript, React",TechCorp,Chennai,26000 INR,1 month,B.Sc,22,25,Office-centric,"['JavaScript', 'React']"
1087,Web Developer Intern,"Python, HTML, CSS",DevHub,Ahmedabad,28000 INR,1 month,MCA,18,26,Office-centric,"['CSS', 'HTML', 'Python']"
1088,Data Analyst Intern,"Data Analysis, SQL",DataWorks,Ahmedabad,26000 INR,6 months,B.Sc,19,27,Remote,"['Data Analysis', 'SQL']"
1089,Web Developer Intern,"Python, HTML, CSS",NextGenTech,Bangalore,30000 INR,4 months,B.Tech,21,24,Remote,"['CSS', 'HTML', 'Python']"
1090,ML Engineer Intern,"Python, ML",SoftLab,Bangalore,10000 INR,4 months,MCA,19,23,Remote,"['ML', 'Python']"
1091,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Gurgaon,10000 INR,5 months,B.Sc,19,26,Remote,"['CSS', 'HTML', 'Python']"
1092,Data Analyst Intern,"Data Analysis, SQL",CloudNet,Chennai,20000 INR,2 months,B.Tech,21,23,Office-centric,"['Data Analysis', 'SQL']"
1093,ML Engineer Intern,"Python, ML",SoftLab,Noida,24000 INR,4 months,M.Tech,20,24,Office-centric,"['ML', 'Python']"
1094,Cloud Developer Intern,"Java, Cloud",SoftLab,Pune,14000 INR,2 months,B.Tech,20,28,Remote,"['Cloud', 'Java']"
1095,Backend Developer Intern,"Java, Backend",CloudNet,Chennai,30000 INR,2 months,MCA,21,30,Remote,"['Backend', 'Java']"
1096,Web Developer Intern,"Python, HTML, CSS",AlgoNext,Mumbai,20000 INR,3 months,B.Tech,21,30,Remote,"['CSS', 'HTML', 'Python']"
1097,Backend Developer Intern,"Java, Backend",ByteWorks,Hyderabad,8000 INR,2 months,M.Tech,19,27,Remote,"['Backend', 'Java']"
1098,Cloud Developer Intern,"Java, Cloud",DataWorks,Hyderabad,30000 INR,5 months,B.Sc,21,30,Remote,"['Cloud', 'Java']"
1099,Frontend Developer Intern,"JavaScript, React",AlgoNext,Kolkata,10000 INR,2 months,M.Tech,21,25,Remote,"['JavaScript', 'React']"
1100,Frontend Developer Intern,"JavaScript, React",DevHub,Pune,14000 INR,2 months,M.Tech,18,26,Office-centric,"['JavaScript', 'React']"
1101,Web Developer Intern,"Python, HTML, CSS",DevHub,Pune,10000 INR,1 month,BCA,19,24,Remote,"['CSS', 'HTML', 'Python']"
1102,ML Engineer Intern,"Python, ML",AlgoNext,Hyderabad,24000 INR,4 months,M.Tech,21,28,Office-centric,"['ML', 'Python']"
1103,Backend Developer Intern,"Java, Backend",SoftLab,Hyderabad,14000 INR,2 months,B.Tech,22,24,Office-centric,"['Backend', 'Java']"
1104,Data Analyst Intern,"Data Analysis, SQL",DataWorks,Chennai,28000 INR,5 months,BCA,18,30,Remote,"['Data Analysis', 'SQL']"
1105,Cloud Developer Intern,"Java, Cloud",AlgoNext,Bangalore,12000 INR,5 months,M.Tech,20,24,Office-centric,"['Cloud', 'Java']"
1106,Cloud Developer Intern,"Java, Cloud",InnovateX,Hyderabad,18000 INR,3 months,MCA,18,28,Remote,"['Cloud', 'Java']"
1107,Web Developer Intern,"Python, HTML, CSS",CloudNet,Mumbai,10000 INR,2 months,B.Sc,18,27,Office-centric,"['CSS', 'HTML', 'Python']"
1108,Frontend Developer Intern,"JavaScript, React",WebSolutions,Kolkata,24000 INR,6 months,MCA,19,27,Remote,"['JavaScript', 'React']"
1109,Web Developer Intern,"Python, HTML, CSS",InnovateX,Noida,28000 INR,3 months,B.Tech,22,27,Remote,"['CSS', 'HTML', 'Python']"
1110,Cloud Developer Intern,"Java, Cloud",ByteWorks,Hyderabad,26000 INR,4 months,B.Sc,21,29,Office-centric,"['Cloud', 'Java']"
1111,Data Analyst Intern,"Data Analysis, SQL",AlgoNext,Mumbai,18000 INR,5 months,MCA,20,29,Office-centric,"['Data Analysis', 'SQL']"
1112,Data Analyst Intern,"Data Analysis, SQL",ByteWorks,Gurgaon,22000 INR,6 months,B.Sc,19,29,Office-centric,"['Data Analysis', 'SQL']"
1113,Data Analyst Intern,"Data Analysis, SQL",AlgoNext,Pune,30000 INR,6 months,BCA,22,25,Office-centric,"['Data Analysis', 'SQL']"
1114,Backend Developer Intern,"Java, Backend",TechCorp,Kolkata,10000 INR,1 month,B.Tech,22,30,Office-centric,"['Backend', 'Java']"
1115,Data Analyst Intern,"Data Analysis, SQL",CloudNet,Hyderabad,12000 INR,5 months,B.Tech,20,24,Remote,"['Data Analysis', 'SQL']"
1116,ML Engineer Intern,"Python, ML",CloudNet,Chennai,20000 INR,2 months,M.Tech,22,28,Remote,"['ML', 'Python']"
1117,Cloud Developer Intern,"Java, Cloud",NextGenTech,Kolkata,22000 INR,6 months,M.Tech,20,30,Office-centric,"['Cloud', 'Java']"
1118,Web Developer Intern,"Python, HTML, CSS",TechCorp,Mumbai,30000 INR,1 month,BCA,19,24,Remote,"['CSS', 'HTML', 'Python']"
1119,Cloud Developer Intern,"Java, Cloud",DevHub,Gurgaon,18000 INR,3 months,MCA,20,30,Office-centric,"['Cloud', 'Java']"
1120,Backend Developer Intern,"Java, Backend",DataWorks,Delhi,10000 INR,6 months,M.Tech,22,23,Office-centric,"['Backend', 'Java']"
1121,Cloud Developer Intern,"Java, Cloud",ByteWorks,Hyderabad,10000 INR,2 months,MCA,22,26,Remote,"['Cloud', 'Java']"
1122,ML Engineer Intern,"Python, ML",ByteWorks,Hyderabad,12000 INR,6 months,M.Tech,19,29,Office-centric,"['ML', 'Python']"
1123,ML Engineer Intern,"Python, ML",DevHub,Gurgaon,10000 INR,6 months,B.Sc,18,23,Office-centric,"['ML', 'Python']"
1124,Backend Developer Intern,"Java, Backend",TechCorp,Noida,14000 INR,1 month,M.Tech,22,29,Remote,"['Backend', 'Java']"
1125,ML Engineer Intern,"Python, ML",InnovateX,Delhi,20000 INR,1 month,B.Sc,21,29,Remote,"['ML', 'Python']"
1126,Cloud Developer Intern,"Java, Cloud",WebSolutions,Mumbai,14000 INR,5 months,BCA,19,27,Office-centric,"['Cloud', 'Java']"
1127,Data Analyst Intern,"Data Analysis, SQL",SoftLab,Noida,8000 INR,6 months,MCA,21,29,Remote,"['Data Analysis', 'SQL']"
1128,Frontend Developer Intern,"JavaScript, React",InnovateX,Kolkata,10000 INR,5 months,MCA,22,29,Office-centric,"['JavaScript', 'React']"
1129,Data Analyst Intern,"Data Analysis, SQL",TechCorp,Chennai,10000 INR,5 months,B.Tech,22,25,Remote,"['Data Analysis', 'SQL']"
1130,Data Analyst Intern,"Data Analysis, SQL",DevHub,Noida,14000 INR,5 months,MCA,19,23,Remote,"['Data Analysis', 'SQL']"
1131,Web Developer Intern,"Python, HTML, CSS",TechCorp,Kolkata,14000 INR,1 month,BCA,19,28,Remote,"['CSS', 'HTML', 'Python']"
1132,Data Analyst Intern,"Data Analysis, SQL",WebSolutions,Bangalore,22000 INR,6 months,M.Tech,21,25,Remote,"['Data Analysis', 'SQL']"
1133,Cloud Developer Intern,"Java, Cloud",NextGenTech,Noida,8000 INR,5 months,B.Sc,22,30,Remote,"['Cloud', 'Java']"
1134,ML Engineer Intern,"Python, ML",ByteWorks,Chennai,10000 INR,2 months,B.Tech,18,28,Office-centric,"['ML', 'Python']"
1135,Web Developer Intern,"Python, HTML, CSS",ByteWorks,Ahmedabad,22000 INR,3 months,M.Tech,22,29,Remote,"['CSS', 'HTML', 'Python']"
1136,Data Analyst Intern,"Data Analysis, SQL",SoftLab,Mumbai,30000 INR,5 months,MCA,18,28,Remote,"['Data Analysis', 'SQL']"
1137,Backend Developer Intern,"Java, Backend",NextGenTech,Delhi,16000 INR,5 months,B.Sc,22,23,Remote,"['Backend', 'Java']"
1138,Web Developer Intern,"Python, HTML, CSS",AlgoNext,Pune,10000 INR,2 months,B.Sc,20,23,Remote,"['CSS', 'HTML', 'Python']"
1139,Cloud Developer Intern,"Java, Cloud",WebSolutions,Gurgaon,20000 INR,4 months,MCA,19,25,Remote,"['Cloud', 'Java']"
1140,Backend Developer Intern,"Java, Backend",DataWorks,Ahmedabad,18000 INR,2 months,M.Tech,21,28,Remote,"['Backend', 'Java']"
1141,Frontend Developer Intern,"JavaScript, React",NextGenTech,Pune,8000 INR,5 months,B.Tech,20,25,Office-centric,"['JavaScript', 'React']"
1142,Backend Developer Intern,"Java, Backend",TechCorp,Ahmedabad,16000 INR,4 months,BCA,20,27,Remote,"['Backend', 'Java']"
1143,Backend Developer Intern,"Java, Backend",SoftLab,Chennai,30000 INR,5 months,B.Sc,22,27,Office-centric,"['Backend', 'Java']"
1144,Cloud Developer Intern,"Java, Cloud",NextGenTech,Mumbai,24000 INR,5 months,B.Sc,19,23,Office-centric,"['Cloud', 'Java']"
1145,Backend Developer Intern,"Java, Backend",AlgoNext,Delhi,30000 INR,4 months,MCA,22,25,Remote,"['Backend', 'Java']"
1146,Data Analyst Intern,"Data Analysis, SQL",DevHub,Bangalore,8000 INR,3 months,MCA,20,25,Remote,"['Data Analysis', 'SQL']"
1147,Cloud Developer Intern,"Java, Cloud",DataWorks,Chennai,12000 INR,5 months,B.Sc,19,30,Remote,"['Cloud', 'Java']"
1148,Data Analyst Intern,"Data Analysis, SQL",DataWorks,Hyderabad,12000 INR,3 months,MCA,18,23,Office-centric,"['Data Analysis', 'SQL']"
1149,Data Analyst Intern,"Data Analysis, SQL",NextGenTech,Mumbai,12000 INR,1 month,B.Sc,20,29,Office-centric,"['Data Analysis', 'SQL']"
1150,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Ahmedabad,26000 INR,2 months,BCA,18,24,Office-centric,"['CSS', 'HTML', 'Python']"
1151,Data Analyst Intern,"Data Analysis, SQL",SoftLab,Chennai,26000 INR,6 months,M.Tech,19,29,Office-centric,"['Data Analysis', 'SQL']"
1152,Cloud Developer Intern,"Java, Cloud",ByteWorks,Ahmedabad,20000 INR,5 months,B.Sc,19,28,Remote,"['Cloud', 'Java']"
1153,Backend Developer Intern,"Java, Backend",NextGenTech,Noida,12000 INR,6 months,BCA,18,25,Remote,"['Backend', 'Java']"
1154,ML Engineer Intern,"Python, ML",InnovateX,Pune,30000 INR,3 months,MCA,20,23,Remote,"['ML', 'Python']"
1155,Data Analyst Intern,"Data Analysis, SQL",WebSolutions,Noida,20000 INR,6 months,M.Tech,19,23,Remote,"['Data Analysis', 'SQL']"
1156,Cloud Developer Intern,"Java, Cloud",CloudNet,Kolkata,18000 INR,2 months,B.Tech,22,28,Remote,"['Cloud', 'Java']"
1157,ML Engineer Intern,"Python, ML",InnovateX,Bangalore,14000 INR,5 months,M.Tech,19,30,Remote,"['ML', 'Python']"
1158,Data Analyst Intern,"Data Analysis, SQL",DataWorks,Gurgaon,14000 INR,5 months,M.Tech,18,30,Remote,"['Data Analysis', 'SQL']"
1159,Web Developer Intern,"Python, HTML, CSS",CloudNet,Chennai,8000 INR,3 months,BCA,19,28,Remote,"['CSS', 'HTML', 'Python']"
1160,Frontend Developer Intern,"JavaScript, React",DataWorks,Ahmedabad,12000 INR,6 months,B.Sc,22,24,Remote,"['JavaScript', 'React']"
1161,Data Analyst Intern,"Data Analysis, SQL",WebSolutions,Chennai,26000 INR,2 months,M.Tech,20,25,Office-centric,"['Data Analysis', 'SQL']"
1162,ML Engineer Intern,"Python, ML",ByteWorks,Gurgaon,26000 INR,3 months,M.Tech,22,30,Remote,"['ML', 'Python']"
1163,Cloud Developer Intern,"Java, Cloud",TechCorp,Hyderabad,24000 INR,1 month,MCA,18,30,Remote,"['Cloud', 'Java']"
1164,Frontend Developer Intern,"JavaScript, React",TechCorp,Pune,28000 INR,6 months,B.Sc,18,28,Office-centric,"['JavaScript', 'React']"
1165,ML Engineer Intern,"Python, ML",ByteWorks,Mumbai,20000 INR,6 months,B.Sc,19,24,Office-centric,"['ML', 'Python']"
1166,Cloud Developer Intern,"Java, Cloud",SoftLab,Mumbai,12000 INR,6 months,B.Tech,21,29,Office-centric,"['Cloud', 'Java']"
1167,ML Engineer Intern,"Python, ML",DataWorks,Pune,28000 INR,4 months,MCA,19,29,Office-centric,"['ML', 'Python']"
1168,Web Developer Intern,"Python, HTML, CSS",AlgoNext,Chennai,28000 INR,4 months,M.Tech,20,23,Office-centric,"['CSS', 'HTML', 'Python']"
1169,Cloud Developer Intern,"Java, Cloud",DataWorks,Bangalore,20000 INR,2 months,BCA,18,28,Office-centric,"['Cloud', 'Java']"
1170,Data Analyst Intern,"Data Analysis, SQL",TechCorp,Gurgaon,8000 INR,5 months,B.Sc,20,23,Remote,"['Data Analysis', 'SQL']"
1171,Cloud Developer Intern,"Java, Cloud",ByteWorks,Noida,26000 INR,3 months,MCA,19,25,Office-centric,"['Cloud', 'Java']"
1172,Backend Developer Intern,"Java, Backend",DevHub,Mumbai,24000 INR,5 months,M.Tech,19,29,Remote,"['Backend', 'Java']"
1173,ML Engineer Intern,"Python, ML",InnovateX,Mumbai,14000 INR,5 months,BCA,20,27,Office-centric,"['ML', 'Python']"
1174,Web Developer Intern,"Python, HTML, CSS",ByteWorks,Bangalore,26000 INR,1 month,B.Tech,22,24,Remote,"['CSS', 'HTML', 'Python']"
1175,ML Engineer Intern,"Python, ML",InnovateX,Hyderabad,26000 INR,3 months,B.Sc,19,28,Remote,"['ML', 'Python']"
1176,Data Analyst Intern,"Data Analysis, SQL",AlgoNext,Kolkata,20000 INR,6 months,B.Tech,20,28,Remote,"['Data Analysis', 'SQL']"
1177,Web Developer Intern,"Python, HTML, CSS",DevHub,Bangalore,14000 INR,4 months,BCA,22,24,Remote,"['CSS', 'HTML', 'Python']"
1178,Cloud Developer Intern,"Java, Cloud",TechCorp,Chennai,20000 INR,6 months,B.Sc,22,23,Office-centric,"['Cloud', 'Java']"
1179,Data Analyst Intern,"Data Analysis, SQL",DataWorks,Delhi,26000 INR,6 months,B.Tech,21,23,Office-centric,"['Data Analysis', 'SQL']"
1180,Web Developer Intern,"Python, HTML, CSS",InnovateX,Gurgaon,14000 INR,5 months,BCA,21,24,Office-centric,"['CSS', 'HTML', 'Python']"
1181,Data Analyst Intern,"Data Analysis, SQL",AlgoNext,Bangalore,14000 INR,4 months,BCA,21,30,Office-centric,"['Data Analysis', 'SQL']"
1182,Data Analyst Intern,"Data Analysis, SQL",TechCorp,Hyderabad,30000 INR,1 month,MCA,22,27,Office-centric,"['Data Analysis', 'SQL']"
1183,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Ahmedabad,20000 INR,4 months,B.Sc,20,29,Remote,"['CSS', 'HTML', 'Python']"
1184,Frontend Developer Intern,"JavaScript, React",CloudNet,Pune,28000 INR,1 month,B.Sc,18,26,Remote,"['JavaScript', 'React']"
1185,ML Engineer Intern,"Python, ML",CloudNet,Chennai,10000 INR,5 months,B.Sc,19,25,Office-centric,"['ML', 'Python']"
1186,Data Analyst Intern,"Data Analysis, SQL",CloudNet,Kolkata,26000 INR,2 months,B.Sc,20,25,Office-centric,"['Data Analysis', 'SQL']"
